año,Abasolo,Acámbaro,San Miguel de Allende,Apaseo el Alto,Apaseo el Grande,Atarjea,Celaya,Manuel Doblado,Comonfort,Coroneo,Cortazar,Cuerámaro,Doctor Mora,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,Huanímaro,Irapuato,Jaral del Progreso,Jerécuaro,León,Moroleón,Ocampo,Pénjamo,Pueblo Nuevo,Purísima del Rincón,Romita,Salamanca,Salvatierra,San Diego de la Unión,San Felipe,San Francisco del Rincón,San José Iturbide,San Luis de la Paz,Santa Catarina,Santa Cruz de Juventino Rosas,Santiago Maravatío,Silao de la Victoria,Tarandacuao,Tarimoro,Tierra Blanca,Uriangato,Valle de Santiago,Victoria,Villagrán,Xichú,Yuriria,
1990,58,73,234,62,79,10,444,27,108,12,56,26,32,214,137,20,439,26,88,"1,240",28,33,129,13,20,62,161,86,64,84,73,50,211,9,58,7,113,8,41,42,24,114,30,23,17,67,
1991,47,89,188,71,66,9,430,21,95,13,62,23,27,138,92,13,410,6,69,"1,170",24,36,126,22,15,29,160,68,63,89,63,33,162,4,62,6,85,7,45,16,30,89,28,26,8,52,
1992,64,66,149,33,60,7,340,13,53,7,54,20,26,158,68,11,307,10,87,"1,136",21,16,84,9,10,39,152,58,47,84,47,24,146,,45,3,71,5,25,21,19,68,21,22,12,51,
1993,46,66,155,39,40,7,363,16,47,10,41,14,18,150,82,4,371,12,59,"1,090",21,10,78,12,6,36,131,66,45,97,57,22,135,6,44,2,59,3,25,24,27,91,16,18,11,24,
1994,37,74,150,48,59,7,348,16,42,2,58,24,19,115,81,8,339,17,44,984,20,22,93,11,8,31,113,66,46,101,55,34,102,3,42,2,55,6,12,17,26,57,13,17,10,25,
1995,39,56,177,34,38,3,331,13,49,7,37,14,18,166,88,9,327,13,34,951,10,10,83,15,5,33,143,55,31,84,34,42,112,6,46,4,55,5,27,22,14,59,17,20,10,35,
1996,29,55,128,32,42,3,300,9,44,5,53,13,12,124,75,7,278,6,41,848,10,8,82,7,6,30,138,39,38,83,48,38,105,4,41,,61,4,20,14,35,47,17,17,13,30,
1997,28,51,122,37,29,2,289,13,44,7,42,20,8,139,78,7,284,12,50,849,12,9,71,11,10,20,122,31,23,71,50,37,121,5,32,1,48,2,19,11,37,54,12,12,9,26,
1998,26,49,111,38,34,2,260,14,43,4,32,30,12,110,68,9,267,9,27,855,12,18,59,7,13,15,121,35,21,64,43,27,122,5,26,3,40,4,15,13,21,47,10,14,5,18,
1999,23,42,98,36,26,3,262,6,38,6,37,14,9,112,74,5,240,11,25,777,15,9,51,7,5,14,106,25,18,64,37,17,93,1,31,,42,5,10,13,31,52,7,6,10,22,
2000,28,50,89,34,25,3,252,6,33,2,30,15,7,104,68,1,226,6,21,730,10,13,46,3,5,13,116,27,21,58,28,31,108,6,34,,26,5,6,8,31,45,12,6,6,16,
2001,26,30,70,27,17,,215,8,22,5,28,8,5,84,62,1,159,13,13,661,13,8,37,1,5,11,88,27,16,33,32,27,67,1,17,,23,2,4,10,26,39,7,11,8,14,
2002,19,46,71,19,10,,271,3,13,2,31,7,13,72,60,1,172,6,14,783,10,10,33,4,2,18,84,26,7,33,22,24,96,1,29,1,36,2,2,8,26,27,7,13,6,14,
2003,12,30,67,22,15,2,233,2,15,4,31,7,4,90,55,6,170,4,10,689,14,5,61,1,4,12,60,20,8,30,20,31,83,1,16,1,23,2,2,8,25,18,5,7,5,9,
2004,11,30,65,24,13,2,222,1,21,2,21,7,7,77,49,4,141,5,8,684,7,4,64,6,5,5,70,27,5,38,15,18,44,2,14,1,21,5,3,6,31,29,9,7,4,4,
2005,8,39,71,24,16,1,241,2,20,4,18,2,1,67,67,2,161,4,9,645,6,3,43,4,5,6,65,15,6,24,17,13,40,1,14,,21,2,1,8,25,24,2,7,2,10,
2006,13,39,81,14,13,2,222,1,13,1,14,10,1,66,37,4,174,2,10,661,8,1,32,2,3,6,52,16,9,27,11,17,35,,12,,14,,,3,26,13,4,8,1,10,
2007,11,32,61,8,11,1,185,3,11,2,10,4,1,74,30,2,151,1,8,666,12,4,47,2,2,6,61,17,12,17,15,14,45,,11,,27,,2,3,32,23,2,7,2,5,
2008,7,40,37,8,11,2,193,6,5,,12,5,2,96,39,4,158,2,7,613,3,8,41,1,6,4,67,14,4,26,10,11,45,,11,,17,,1,5,32,20,1,4,2,10,
2009,3,30,54,7,5,,212,2,7,,10,2,4,69,36,4,166,1,3,493,9,2,32,1,5,6,58,13,6,23,13,20,28,,10,,24,,3,1,12,21,4,3,1,2,
2010,8,33,36,11,5,1,257,1,9,2,13,4,2,65,34,3,162,5,2,503,5,4,59,4,4,4,71,21,4,19,10,29,30,1,12,,34,2,6,,30,9,2,8,,3,
2011,6,32,39,7,9,1,194,3,7,2,10,2,1,67,34,5,125,1,3,472,7,1,51,3,2,4,58,30,3,21,7,14,31,1,15,,32,2,5,3,38,19,2,6,,2,
2012,11,21,43,3,8,,200,2,16,,18,5,2,56,26,1,171,,12,468,8,1,40,1,4,6,67,17,,12,9,23,27,2,7,,32,2,2,2,24,13,2,8,1,,
2013,9,39,38,12,8,,186,3,10,2,16,1,4,51,30,,145,1,5,430,4,,33,1,4,5,66,15,4,12,9,24,30,,11,,38,1,2,1,37,33,3,4,,2,
2014,6,42,32,7,9,,178,2,4,2,6,2,1,63,32,,182,,5,438,9,2,38,1,,2,69,23,2,13,10,22,37,,5,,34,1,1,2,36,29,1,6,,4,
2015,8,24,40,8,9,,168,7,9,3,6,2,1,52,27,1,136,6,5,438,8,2,36,,4,8,57,10,2,12,13,22,24,1,10,,27,2,3,1,15,25,3,6,,4,
2016,6,24,36,10,3,,168,2,11,1,3,1,1,48,36,,114,5,1,434,5,2,44,,,3,40,13,3,18,4,17,30,,7,,43,2,1,2,20,33,2,4,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTE: INEGI. Estadísticas de mortalidad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
